"","work","collection"
"284","1838_207_Демидов М._Разные разности. Стихотворения М. Демидова","rsl"
"285","1838_207_Демидов М._Разные разности. Стихотворения М. Демидова","rozanov"
"286","1838_207_Демидов М._Разные разности. Стихотворения М. Демидова","us_harvard"
"287","1838_207_Демидов М._Разные разности. Стихотворения М. Демидова","fi_sl"
"288","1838_209_Долгоруков А.В._Поэзия Алексея Москвитянина","nlr"
"289","1838_209_Долгоруков А.В._Поэзия Алексея Москвитянина","rsl"
"290","1838_210_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","nlr"
"291","1838_210_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","rsl"
"292","1838_210_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","us_harvard"
"293","1838_211_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","nlr"
"294","1838_211_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","rozanov"
"295","1838_211_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","cz_slk"
"296","1838_212_Максимов М.И._Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова / Изд. 3-е","nlr"
"297","1838_212_Максимов М.И._Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова / Изд. 3-е","rsl"
"298","1838_212_Максимов М.И._Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова / Изд. 3-е","rozanov"
"299","1838_213_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","nlr"
"300","1838_213_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","rsl"
"301","1838_213_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","cz_slk"
"302","1838_213_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","fi_sl"
"303","1838_213_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","spbgu"
"304","1838_214_Онисимова Д.А._Стихи бедной девицы, слепой дочери деревенского пономаря, сообщенные в Императорскую Российскую Академию, и от ней изданные","nlr"
